analysis_type	analysis_subtype	analysis_name	group1_samples	group2_samples	N_test	N_chunk
oligo_activity	celltype	A549-ACE2_all	A549-ACE2_NS_R1,A549-ACE2_NS_R2-P3,A549-ACE2_NS_R3-P3,A549-ACE2_SARS_R1-P3,A549-ACE2_SARS_R2-P3,A549-ACE2_SARS_R3-P3,A549-ACE2_IAV_R1-P3,A549-ACE2_IAV_R2,A549-ACE2_IAV_R3,A549-ACE2_TNFa_R1,A549-ACE2_TNFa_R2,A549-ACE2_TNFa_R3		11560	31
oligo_activity	celltype	HepG2_all	HepG2_NS_R1,HepG2_NS_R2,HepG2_NS_R3,HepG2_NS_R4,HepG2_NS_R5,HepG2_IFNA2b_R1,HepG2_IFNA2b_R2,HepG2_IFNA2b_R3,HepG2_IFNA2b_R4,HepG2_DEX_R1,HepG2_DEX_R2,HepG2_DEX_R3,HepG2_TNFa_R1,HepG2_TNFa_R2,HepG2_TNFa_R3		11620	40
oligo_activity	celltype	K562_all	K562_NS_R1,K562_NS_R2,K562_NS_R3,K562_NS_R4,K562_NS_R5,K562_IFNA2b_R1,K562_IFNA2b_R2,K562_IFNA2b_R3,K562_IFNA2b_R4,K562_DEX_R1,K562_DEX_R2,K562_DEX_R3,K562_TNFa_R1,K562_TNFa_R2,K562_TNFa_R3		11620	36
oligo_activity	celltype_cond	A549-ACE2_IAV_all	A549-ACE2_IAV_R1-P3,A549-ACE2_IAV_R2,A549-ACE2_IAV_R3		11556	23
oligo_activity	celltype_cond	A549-ACE2_NS_all	A549-ACE2_NS_R1,A549-ACE2_NS_R2-P3,A549-ACE2_NS_R3-P3		11556	23
oligo_activity	celltype_cond	A549-ACE2_SARS_all	A549-ACE2_SARS_R1-P3,A549-ACE2_SARS_R2-P3,A549-ACE2_SARS_R3-P3		11555	23
oligo_activity	celltype_cond	A549-ACE2_TNFa_all	A549-ACE2_TNFa_R1,A549-ACE2_TNFa_R2,A549-ACE2_TNFa_R3		11547	23
oligo_activity	celltype_cond	HepG2_DEX_all	HepG2_DEX_R1,HepG2_DEX_R2,HepG2_DEX_R3		11618	24
oligo_activity	celltype_cond	HepG2_IFNA2b_all	HepG2_IFNA2b_R1,HepG2_IFNA2b_R2,HepG2_IFNA2b_R3,HepG2_IFNA2b_R4		11613	26
oligo_activity	celltype_cond	HepG2_NS_all	HepG2_NS_R1,HepG2_NS_R2,HepG2_NS_R3,HepG2_NS_R4,HepG2_NS_R5		11618	27
oligo_activity	celltype_cond	HepG2_TNFa_all	HepG2_TNFa_R1,HepG2_TNFa_R2,HepG2_TNFa_R3		11547	22
oligo_activity	celltype_cond	K562_IFNA2b_all	K562_IFNA2b_R1,K562_IFNA2b_R2,K562_IFNA2b_R3,K562_IFNA2b_R4		11554	24
oligo_activity	celltype_cond	K562_NS_all	K562_NS_R1,K562_NS_R2,K562_NS_R3,K562_NS_R4,K562_NS_R5		11619	26
oligo_activity	celltype_cond	K562_TNFa_all	K562_TNFa_R1,K562_TNFa_R2,K562_TNFa_R3		11552	23
oligo_activity	celltype_cond	K562_DEX_all	K562_DEX_R1,K562_DEX_R2,K562_DEX_R3		11552	23
oligo_activity	response	response_A549-ACE2_IAV	A549-ACE2_NS_R1,A549-ACE2_NS_R2-P3,A549-ACE2_NS_R3-P3	A549-ACE2_IAV_R1-P3,A549-ACE2_IAV_R2,A549-ACE2_IAV_R3	11559	25
oligo_activity	response	response_A549-ACE2_SARS	A549-ACE2_NS_R1,A549-ACE2_NS_R2-P3,A549-ACE2_NS_R3-P3	A549-ACE2_SARS_R1-P3,A549-ACE2_SARS_R2-P3,A549-ACE2_SARS_R3-P3	11558	25
oligo_activity	response	response_A549-ACE2_TNFa	A549-ACE2_NS_R1,A549-ACE2_NS_R2-P3,A549-ACE2_NS_R3-P3	A549-ACE2_TNFa_R1,A549-ACE2_TNFa_R2,A549-ACE2_TNFa_R3	11556	23
